run,sync,n,d,k,alpha,beta,lamda,ptns,report,normalize,bold,method,data
1,FALSE,4,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,FPSGD,data/netflix.npz
2,FALSE,8,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,FPSGD,data/netflix.npz
3,FALSE,16,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,FPSGD,data/netflix.npz
4,FALSE,32,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,FPSGD,data/netflix.npz
5,FALSE,4,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,NOMAD,data/netflix.npz
6,FALSE,8,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,NOMAD,data/netflix.npz
7,FALSE,16,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,NOMAD,data/netflix.npz
8,FALSE,32,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,NOMAD,data/netflix.npz
9,FALSE,4,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,DSGDPP,data/netflix.npz
10,FALSE,8,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,DSGDPP,data/netflix.npz
11,FALSE,16,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,DSGDPP,data/netflix.npz
12,FALSE,32,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,DSGDPP,data/netflix.npz
13,FALSE,4,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,DSGD,data/netflix.npz
14,FALSE,8,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,DSGD,data/netflix.npz
15,FALSE,16,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,DSGD,data/netflix.npz
16,FALSE,32,1200,100,0.008,0.01,0.05,1,10,FALSE,FALSE,DSGD,data/netflix.npz
17,FALSE,4,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,DSGD,data/yahoo.npz
18,FALSE,8,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,DSGD,data/yahoo.npz
19,FALSE,16,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,DSGD,data/yahoo.npz
20,FALSE,32,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,DSGD,data/yahoo.npz
21,FALSE,4,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,DSGDPP,data/yahoo.npz
22,FALSE,8,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,DSGDPP,data/yahoo.npz
23,FALSE,16,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,DSGDPP,data/yahoo.npz
24,FALSE,32,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,DSGDPP,data/yahoo.npz
25,FALSE,4,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,NOMAD,data/yahoo.npz
26,FALSE,8,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,NOMAD,data/yahoo.npz
27,FALSE,16,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,NOMAD,data/yahoo.npz
28,FALSE,32,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,NOMAD,data/yahoo.npz
29,FALSE,4,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,DSGD,data/movielens.npz
30,FALSE,8,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,DSGD,data/movielens.npz
31,FALSE,16,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,DSGD,data/movielens.npz
32,FALSE,32,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,DSGD,data/movielens.npz
33,FALSE,4,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,DSGDPP,data/movielens.npz
34,FALSE,8,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,DSGDPP,data/movielens.npz
35,FALSE,16,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,DSGDPP,data/movielens.npz
36,FALSE,32,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,DSGDPP,data/movielens.npz
37,FALSE,4,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,FPSGD,data/movielens.npz
38,FALSE,8,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,FPSGD,data/movielens.npz
39,FALSE,16,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,FPSGD,data/movielens.npz
40,FALSE,32,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,FPSGD,data/movielens.npz
41,FALSE,4,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,NOMAD,data/movielens.npz
42,FALSE,8,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,NOMAD,data/movielens.npz
43,FALSE,16,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,NOMAD,data/movielens.npz
44,FALSE,32,1200,100,0.003,0.01,0.05,1,10,FALSE,FALSE,NOMAD,data/movielens.npz
45,FALSE,4,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,FPSGD,data/yahoo.npz
46,FALSE,8,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,FPSGD,data/yahoo.npz
47,FALSE,16,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,FPSGD,data/yahoo.npz
48,FALSE,32,1200,100,0.00075,0.05,1,1,10,FALSE,FALSE,FPSGD,data/yahoo.npz